log_id,session_id,user_id,action_name,input_params,output_result,status,execution_time_ms,timestamp
LOG1001,SESS663,OWN1115,search_properties_rag,"{""query"": ""2BHK under 50L near metro"", ""locality"": ""Noida Sector 62"", ""max_price"": 5000000}","{""status"": ""SUCCESS"", ""matches_found"": 2, ""top_property_id"": ""PROP1143""}",SUCCESS,669,2026-07-21 06:50:53
LOG1002,SESS673,OWN1759,send_owner_email,"{""owner_id"": ""OWN1217"", ""message"": ""Hi, I am interested in viewing your property.""}","{""status"": ""SUCCESS"", ""email_sent"": true, ""error_code"": null}",SUCCESS,380,2026-07-21 06:50:16
LOG1003,SESS507,OWN1096,estimate_fair_price,"{""property_id"": ""PROP1617"", ""area_sqft"": 1200, ""bhk"": 2}","{""status"": ""SUCCESS"", ""estimated_price"": 4555649}",SUCCESS,2548,2026-07-21 06:50:31
LOG1004,SESS550,OWN1734,send_owner_email,"{""owner_id"": ""OWN1230"", ""message"": ""Hi, I am interested in viewing your property.""}","{""status"": ""SUCCESS"", ""email_sent"": true, ""error_code"": null}",SUCCESS,2663,2026-07-21 06:50:28
LOG1005,SESS571,OWN1829,search_properties_rag,"{""query"": ""2BHK under 50L near metro"", ""locality"": ""Noida Sector 62"", ""max_price"": 5000000}","{""status"": ""SUCCESS"", ""matches_found"": 4, ""top_property_id"": ""PROP1349""}",SUCCESS,1388,2026-07-21 06:50:59
LOG1006,SESS539,OWN1221,get_average_rent,"{""locality"": ""Cyber City Gurgaon"", ""bhk"": 2}","{""status"": ""SUCCESS"", ""avg_rent_inr"": 21169}",SUCCESS,1720,2026-07-21 06:50:55
LOG1007,SESS716,OWN1353,send_owner_email,"{""owner_id"": ""OWN1023"", ""message"": ""Hi, I am interested in viewing your property.""}","{""status"": ""SUCCESS"", ""email_sent"": true, ""error_code"": null}",SUCCESS,2131,2026-07-21 06:51:08
LOG1008,SESS637,OWN1128,schedule_property_visit,"{""property_id"": ""PROP1301"", ""user_name"": ""Pahal Balay"", ""slot"": ""2026-08-10 11:00 AM""}","{""status"": ""SUCCESS"", ""visit_id"": ""VST1850""}",SUCCESS,2783,2026-07-21 06:50:16
LOG1009,SESS726,OWN1883,get_average_rent,"{""locality"": ""Saket"", ""bhk"": 2}","{""status"": ""SUCCESS"", ""avg_rent_inr"": 20279}",SUCCESS,437,2026-07-21 06:50:28
LOG1010,SESS669,OWN1234,get_average_rent,"{""locality"": ""Indirapuram"", ""bhk"": 2}","{""status"": ""FAILED"", ""avg_rent_inr"": ""Error: Locality not found""}",FAILED,663,2026-07-21 06:50:45
LOG1011,SESS597,OWN1285,schedule_property_visit,"{""property_id"": ""PROP1374"", ""user_name"": ""Rushil Saini"", ""slot"": ""2026-08-10 11:00 AM""}","{""status"": ""SUCCESS"", ""visit_id"": ""VST1167""}",SUCCESS,1766,2026-07-21 06:50:28
LOG1012,SESS590,OWN1215,get_average_rent,"{""locality"": ""Saket"", ""bhk"": 2}","{""status"": ""SUCCESS"", ""avg_rent_inr"": 20339}",SUCCESS,2745,2026-07-21 06:50:50
LOG1013,SESS662,OWN1176,send_owner_email,"{""owner_id"": ""OWN1084"", ""message"": ""Hi, I am interested in viewing your property.""}","{""status"": ""SUCCESS"", ""email_sent"": true, ""error_code"": null}",SUCCESS,2143,2026-07-21 06:51:03
LOG1014,SESS597,OWN1277,send_owner_email,"{""owner_id"": ""OWN1167"", ""message"": ""Hi, I am interested in viewing your property.""}","{""status"": ""SUCCESS"", ""email_sent"": true, ""error_code"": null}",SUCCESS,479,2026-07-21 06:50:15
LOG1015,SESS558,OWN1842,search_properties_rag,"{""query"": ""2BHK under 50L near metro"", ""locality"": ""South Delhi"", ""max_price"": 5000000}","{""status"": ""FAILED"", ""matches_found"": 0, ""top_property_id"": ""PROP1275""}",FAILED,521,2026-07-21 06:51:03
LOG1016,SESS554,OWN1936,send_owner_email,"{""owner_id"": ""OWN1162"", ""message"": ""Hi, I am interested in viewing your property.""}","{""status"": ""FAILED"", ""email_sent"": false, ""error_code"": ""SMTP_TIMEOUT""}",FAILED,1120,2026-07-21 06:50:56
LOG1017,SESS667,OWN1512,schedule_property_visit,"{""property_id"": ""PROP1659"", ""user_name"": ""Arunima Dugal"", ""slot"": ""2026-08-10 11:00 AM""}","{""status"": ""FAILED"", ""visit_id"": ""Error: Slot unavailable""}",FAILED,2129,2026-07-21 06:50:27
LOG1018,SESS536,OWN1272,estimate_fair_price,"{""property_id"": ""PROP1575"", ""area_sqft"": 1200, ""bhk"": 2}","{""status"": ""SUCCESS"", ""estimated_price"": 5630317}",SUCCESS,1326,2026-07-21 06:51:00
LOG1019,SESS691,OWN1599,schedule_property_visit,"{""property_id"": ""PROP1409"", ""user_name"": ""George Rai"", ""slot"": ""2026-08-10 11:00 AM""}","{""status"": ""FAILED"", ""visit_id"": ""Error: Slot unavailable""}",FAILED,1732,2026-07-21 06:50:20
LOG1020,SESS556,OWN1142,send_owner_email,"{""owner_id"": ""OWN1025"", ""message"": ""Hi, I am interested in viewing your property.""}","{""status"": ""SUCCESS"", ""email_sent"": true, ""error_code"": null}",SUCCESS,699,2026-07-21 06:51:05
LOG1021,SESS539,OWN1643,estimate_fair_price,"{""property_id"": ""PROP1433"", ""area_sqft"": 1200, ""bhk"": 2}","{""status"": ""SUCCESS"", ""estimated_price"": 5750760}",SUCCESS,510,2026-07-21 06:50:51
LOG1022,SESS598,OWN1391,send_owner_email,"{""owner_id"": ""OWN1271"", ""message"": ""Hi, I am interested in viewing your property.""}","{""status"": ""FAILED"", ""email_sent"": false, ""error_code"": ""SMTP_TIMEOUT""}",FAILED,1279,2026-07-21 06:51:03
LOG1023,SESS748,OWN1567,search_properties_rag,"{""query"": ""2BHK under 50L near metro"", ""locality"": ""Noida Sector 62"", ""max_price"": 5000000}","{""status"": ""SUCCESS"", ""matches_found"": 5, ""top_property_id"": ""PROP1769""}",SUCCESS,1342,2026-07-21 06:50:58
LOG1024,SESS696,OWN1657,get_average_rent,"{""locality"": ""Cyber City Gurgaon"", ""bhk"": 2}","{""status"": ""SUCCESS"", ""avg_rent_inr"": 23182}",SUCCESS,2108,2026-07-21 06:50:47
LOG1025,SESS500,OWN1977,get_average_rent,"{""locality"": ""Indirapuram"", ""bhk"": 2}","{""status"": ""FAILED"", ""avg_rent_inr"": ""Error: Locality not found""}",FAILED,2329,2026-07-21 06:51:13
