sale_id,locality,city,property_type,bhk,area_sqft,sold_price,price_per_sqft,sold_date
SALE1001,Cyber City Gurgaon,Delhi NCR,APARTMENT,3,1725,25310000,14672.46,2025-06-20
SALE1002,DLF Phase 5,Delhi NCR,INDEPENDENT_HOUSE,5,2470,73070000,29583.0,2023-08-17
SALE1003,Saket,Delhi NCR,APARTMENT,1,561,9290000,16559.71,2024-05-17
SALE1004,Vasant Kunj,Delhi NCR,INDEPENDENT_HOUSE,2,1458,35850000,24588.48,2024-03-21
SALE1005,Ghaziabad Indirapuram,Delhi NCR,INDEPENDENT_HOUSE,3,1359,13180000,9698.31,2025-10-05
SALE1006,Gurgaon Sector 45,Delhi NCR,INDEPENDENT_HOUSE,4,2496,34950000,14002.4,2025-07-31
SALE1007,Janakpuri,Delhi NCR,BUILDER_FLOOR,1,497,6470000,13018.11,2026-03-24
SALE1008,West Delhi,Delhi NCR,BUILDER_FLOOR,5,2925,33540000,11466.67,2023-10-24
SALE1009,Ghaziabad Vasundhara,Delhi NCR,INDEPENDENT_HOUSE,1,643,4580000,7122.86,2024-10-25
SALE1010,Noida Sector 18,Delhi NCR,INDEPENDENT_HOUSE,5,3175,56530000,17804.72,2023-08-22
SALE1011,Lajpat Nagar,Delhi NCR,APARTMENT,2,1196,26030000,21764.21,2024-03-16
SALE1012,Pitampura,Delhi NCR,APARTMENT,4,2368,32690000,13804.9,2025-01-24
SALE1013,Sohna Road Gurgaon,Delhi NCR,APARTMENT,3,1893,15550000,8214.47,2023-08-19
SALE1014,Noida Sector 150,Delhi NCR,INDEPENDENT_HOUSE,1,537,7810000,14543.76,2024-02-23
SALE1015,Preet Vihar,Delhi NCR,APARTMENT,4,2576,29980000,11638.2,2025-07-02
SALE1016,Pitampura,Delhi NCR,INDEPENDENT_HOUSE,3,1434,22130000,15432.36,2025-03-09
SALE1017,Saket,Delhi NCR,BUILDER_FLOOR,4,2348,36760000,15655.88,2024-03-18
SALE1018,North Delhi,Delhi NCR,APARTMENT,4,2608,29090000,11154.14,2025-04-26
SALE1019,Ghaziabad Vasundhara,Delhi NCR,APARTMENT,3,1563,9820000,6282.79,2025-12-24
SALE1020,Central Delhi,Delhi NCR,INDEPENDENT_HOUSE,5,3345,116820000,34923.77,2023-07-28
SALE1021,Noida Sector 76,Delhi NCR,BUILDER_FLOOR,2,1040,8870000,8528.85,2025-12-20
SALE1022,Gurgaon Golf Course Road,Delhi NCR,APARTMENT,1,528,15350000,29071.97,2025-08-24
SALE1023,Greater Noida Pari Chowk,Delhi NCR,INDEPENDENT_HOUSE,1,647,5240000,8098.92,2024-07-27
SALE1024,Ghaziabad Vasundhara,Delhi NCR,INDEPENDENT_HOUSE,3,2199,19890000,9045.02,2024-01-07
SALE1025,South Delhi,Delhi NCR,INDEPENDENT_HOUSE,1,724,20550000,28383.98,2026-06-04
SALE1026,East Delhi,Delhi NCR,APARTMENT,3,2016,17190000,8526.79,2024-07-23
SALE1027,South Delhi,Delhi NCR,INDEPENDENT_HOUSE,3,2118,60310000,28474.98,2023-10-30
SALE1028,Faridabad Sector 81,Delhi NCR,APARTMENT,3,2127,14280000,6713.68,2023-11-04
SALE1029,Gurgaon Sector 56,Delhi NCR,BUILDER_FLOOR,2,1452,21440000,14765.84,2026-02-03
SALE1030,Faridabad Neharpar,Delhi NCR,APARTMENT,5,3075,15320000,4982.11,2025-05-12
SALE1031,Cyber City Gurgaon,Delhi NCR,BUILDER_FLOOR,3,1716,23810000,13875.29,2025-12-21
SALE1032,Gurgaon Golf Course Road,Delhi NCR,APARTMENT,4,1940,62110000,32015.46,2025-09-27
SALE1033,Golf Course Extension Road,Delhi NCR,APARTMENT,4,2924,39450000,13491.79,2025-02-27
SALE1034,Faridabad Neharpar,Delhi NCR,INDEPENDENT_HOUSE,4,2232,15120000,6774.19,2026-06-21
SALE1035,Rohini Sector 10,Delhi NCR,INDEPENDENT_HOUSE,3,1962,32450000,16539.25,2024-09-07
SALE1036,Sohna Road Gurgaon,Delhi NCR,BUILDER_FLOOR,5,3405,27160000,7976.51,2025-03-17
SALE1037,Pitampura,Delhi NCR,APARTMENT,3,1380,19830000,14369.57,2026-01-15
SALE1038,Pitampura,Delhi NCR,INDEPENDENT_HOUSE,2,906,13260000,14635.76,2025-05-28
SALE1039,Hauz Khas,Delhi NCR,APARTMENT,1,466,12910000,27703.86,2026-02-19
SALE1040,Lajpat Nagar,Delhi NCR,INDEPENDENT_HOUSE,2,1184,28360000,23952.7,2025-04-13
SALE1041,Janakpuri,Delhi NCR,INDEPENDENT_HOUSE,2,1484,24590000,16570.08,2025-08-31
SALE1042,Preet Vihar,Delhi NCR,BUILDER_FLOOR,4,2188,24020000,10978.06,2023-09-09
SALE1043,Greater Noida Pari Chowk,Delhi NCR,BUILDER_FLOOR,4,2640,18300000,6931.82,2024-03-26
SALE1044,Hauz Khas,Delhi NCR,INDEPENDENT_HOUSE,1,481,14010000,29126.82,2024-06-02
SALE1045,East Delhi,Delhi NCR,APARTMENT,2,1096,9440000,8613.14,2023-10-16
SALE1046,Ghaziabad Indirapuram,Delhi NCR,APARTMENT,4,2172,15210000,7002.76,2024-04-01
SALE1047,Preet Vihar,Delhi NCR,APARTMENT,4,2924,32140000,10991.79,2023-11-08
SALE1048,South Delhi,Delhi NCR,APARTMENT,2,1070,22880000,21383.18,2024-05-20
SALE1049,Ghaziabad Raj Nagar Extension,Delhi NCR,APARTMENT,4,1920,9500000,4947.92,2025-06-16
SALE1050,South Delhi,Delhi NCR,BUILDER_FLOOR,3,2046,42110000,20581.62,2024-08-23
SALE1051,Faridabad Sector 15,Delhi NCR,APARTMENT,2,1202,8800000,7321.13,2024-08-29
SALE1052,Hauz Khas,Delhi NCR,INDEPENDENT_HOUSE,5,2405,77520000,32232.85,2024-03-06
SALE1053,Hauz Khas,Delhi NCR,APARTMENT,5,3470,86820000,25020.17,2024-05-08
SALE1054,Faridabad Neharpar,Delhi NCR,APARTMENT,1,710,3100000,4366.2,2026-05-12
SALE1055,Dwarka Sector 21,Delhi NCR,APARTMENT,5,2420,38210000,15789.26,2025-06-30
SALE1056,Preet Vihar,Delhi NCR,BUILDER_FLOOR,1,741,8560000,11551.96,2025-05-18
SALE1057,Saket,Delhi NCR,INDEPENDENT_HOUSE,1,664,15020000,22620.48,2024-01-24
SALE1058,Faridabad Neharpar,Delhi NCR,BUILDER_FLOOR,3,1662,8730000,5252.71,2025-09-27
SALE1059,North Delhi,Delhi NCR,APARTMENT,3,1956,17390000,8890.59,2024-01-16
SALE1060,Noida Sector 62,Delhi NCR,BUILDER_FLOOR,3,1461,13710000,9383.98,2024-09-08
SALE1061,DLF Phase 5,Delhi NCR,APARTMENT,5,2795,67200000,24042.93,2026-07-09
SALE1062,Golf Course Extension Road,Delhi NCR,BUILDER_FLOOR,1,575,8290000,14417.39,2025-06-21
SALE1063,Gurgaon Sector 45,Delhi NCR,BUILDER_FLOOR,5,3020,39010000,12917.22,2025-03-22
SALE1064,Faridabad Neharpar,Delhi NCR,APARTMENT,5,3015,17030000,5648.42,2025-08-09
SALE1065,DLF Phase 5,Delhi NCR,APARTMENT,3,1527,40930000,26804.19,2026-01-29
SALE1066,Gurgaon Sector 56,Delhi NCR,BUILDER_FLOOR,3,1671,23140000,13848.0,2025-11-17
SALE1067,Janakpuri,Delhi NCR,INDEPENDENT_HOUSE,3,2124,34290000,16144.07,2024-03-28
SALE1068,Hauz Khas,Delhi NCR,APARTMENT,4,2364,51020000,21582.06,2023-08-25
SALE1069,East Delhi,Delhi NCR,APARTMENT,3,1596,16260000,10187.97,2024-06-30
SALE1070,Greater Noida Pari Chowk,Delhi NCR,INDEPENDENT_HOUSE,1,507,3720000,7337.28,2024-05-09
SALE1071,Gurgaon Sector 56,Delhi NCR,INDEPENDENT_HOUSE,1,639,10220000,15993.74,2024-03-08
SALE1072,Gurgaon Sector 56,Delhi NCR,BUILDER_FLOOR,2,942,11540000,12250.53,2026-05-19
SALE1073,Saket,Delhi NCR,BUILDER_FLOOR,2,1154,21810000,18899.48,2026-03-07
SALE1074,West Delhi,Delhi NCR,INDEPENDENT_HOUSE,4,2116,30070000,14210.78,2024-06-29
SALE1075,Preet Vihar,Delhi NCR,APARTMENT,2,1322,14170000,10718.61,2025-07-08
SALE1076,East Delhi,Delhi NCR,BUILDER_FLOOR,2,1172,10000000,8532.42,2024-09-26
SALE1077,DLF Phase 5,Delhi NCR,BUILDER_FLOOR,1,690,15180000,22000.0,2026-04-18
SALE1078,Ghaziabad Vasundhara,Delhi NCR,BUILDER_FLOOR,3,1698,10590000,6236.75,2024-12-04
SALE1079,Rohini Sector 10,Delhi NCR,BUILDER_FLOOR,3,1776,23640000,13310.81,2024-05-06
SALE1080,Noida Sector 150,Delhi NCR,BUILDER_FLOOR,5,3270,41350000,12645.26,2024-04-16
SALE1081,East Delhi,Delhi NCR,APARTMENT,1,583,5000000,8576.33,2025-03-27
SALE1082,Central Delhi,Delhi NCR,APARTMENT,1,672,16660000,24791.67,2024-05-03
SALE1083,North Delhi,Delhi NCR,BUILDER_FLOOR,5,3555,31450000,8846.69,2025-04-21
SALE1084,Rohini Sector 10,Delhi NCR,BUILDER_FLOOR,1,673,6870000,10208.02,2026-03-31
SALE1085,Rohini Sector 10,Delhi NCR,BUILDER_FLOOR,4,1940,26410000,13613.4,2024-09-30
SALE1086,East Delhi,Delhi NCR,INDEPENDENT_HOUSE,3,1539,18700000,12150.75,2024-03-17
SALE1087,Noida Sector 62,Delhi NCR,INDEPENDENT_HOUSE,3,1977,24740000,12513.91,2026-07-18
SALE1088,Noida Sector 18,Delhi NCR,INDEPENDENT_HOUSE,2,1096,18620000,16989.05,2025-01-29
SALE1089,Noida Extension,Delhi NCR,INDEPENDENT_HOUSE,2,1482,12540000,8461.54,2023-10-28
SALE1090,South Delhi,Delhi NCR,BUILDER_FLOOR,3,1671,35990000,21538.0,2023-09-10
SALE1091,North Delhi,Delhi NCR,BUILDER_FLOOR,4,2704,28460000,10525.15,2023-11-18
SALE1092,Faridabad Sector 81,Delhi NCR,BUILDER_FLOOR,2,986,5990000,6075.05,2025-06-07
SALE1093,East Delhi,Delhi NCR,APARTMENT,2,1216,10600000,8717.11,2025-12-05
SALE1094,Rohini Sector 10,Delhi NCR,APARTMENT,1,473,5240000,11078.22,2024-10-25
SALE1095,Ghaziabad Raj Nagar Extension,Delhi NCR,INDEPENDENT_HOUSE,1,683,4390000,6427.53,2023-09-28
SALE1096,Rohini Sector 10,Delhi NCR,INDEPENDENT_HOUSE,4,2812,39270000,13965.15,2024-09-11
SALE1097,Gurgaon Sector 56,Delhi NCR,INDEPENDENT_HOUSE,1,504,8520000,16904.76,2026-07-16
