property_id,owner_id,title,locality,city,property_type,listing_type,bhk,area_sqft,price,near_metro,metro_distance_km,occupancy_type,gender_preference,food_included,food_type,description_text,created_at
PROP1001,OWN1058,2 BHK Apartment in North Delhi,North Delhi,Delhi NCR,APARTMENT,RENT,2,970,25434,False,6.6,FULL_FLAT,ANY,False,NONE,"Spacious 2 BHK Apartment Available for Rent in North Delhi. Covered area is 970 sq.ft. Listed price is ₹25,434. Proximity to metro: 6.6 km.",2026-03-11 14:04:18
PROP1002,OWN1280,1 BHK Apartment in Dwarka Sector 21,Dwarka Sector 21,Delhi NCR,APARTMENT,RENT,1,473,40657,True,1.36,FULL_FLAT,ANY,False,NONE,"Spacious 1 BHK Apartment Available for Rent in Dwarka Sector 21. Covered area is 473 sq.ft. Listed price is ₹40,657. Proximity to metro: 1.36 km.",2025-07-30 04:14:53
PROP1003,OWN1014,4 BHK Independent House in Pitampura,Pitampura,Delhi NCR,INDEPENDENT_HOUSE,RENT,4,2024,70878,False,4.1,FULL_FLAT,ANY,False,NONE,"Spacious 4 BHK Independent House Available for Rent in Pitampura. Covered area is 2024 sq.ft. Listed price is ₹70,878. Proximity to metro: 4.1 km.",2025-10-29 11:51:03
PROP1004,OWN1004,3 BHK Builder Floor in Janakpuri,Janakpuri,Delhi NCR,BUILDER_FLOOR,RENT,3,1467,40221,True,0.44,FULL_FLAT,ANY,False,NONE,"Spacious 3 BHK Builder Floor Available for Rent in Janakpuri. Covered area is 1467 sq.ft. Listed price is ₹40,221. Proximity to metro: 0.44 km.",2025-10-10 13:37:18
PROP1005,OWN1195,5 BHK Builder Floor in Vasant Kunj,Vasant Kunj,Delhi NCR,BUILDER_FLOOR,SALE,5,3175,7415909,False,5.08,FULL_FLAT,ANY,False,NONE,"Spacious 5 BHK Builder Floor Available for Sale in Vasant Kunj. Covered area is 3175 sq.ft. Listed price is ₹7,415,909. Proximity to metro: 5.08 km.",2026-04-16 00:44:23
PROP1006,OWN1064,5 BHK Builder Floor in Noida Sector 18,Noida Sector 18,Delhi NCR,BUILDER_FLOOR,SALE,5,3425,43245446,True,1.82,FULL_FLAT,ANY,False,NONE,"Spacious 5 BHK Builder Floor Available for Sale in Noida Sector 18. Covered area is 3425 sq.ft. Listed price is ₹43,245,446. Proximity to metro: 1.82 km.",2026-03-25 04:47:43
PROP1007,OWN1024,2 BHK Apartment in Gurgaon Sector 56,Gurgaon Sector 56,Delhi NCR,APARTMENT,RENT,2,950,61823,True,1.24,FULL_FLAT,ANY,False,NONE,"Spacious 2 BHK Apartment Available for Rent in Gurgaon Sector 56. Covered area is 950 sq.ft. Listed price is ₹61,823. Proximity to metro: 1.24 km.",2026-06-11 21:38:31
PROP1008,OWN1187,3 BHK Apartment in Janakpuri,Janakpuri,Delhi NCR,APARTMENT,SALE,3,1608,15984920,False,6.54,FULL_FLAT,ANY,False,NONE,"Spacious 3 BHK Apartment Available for Sale in Janakpuri. Covered area is 1608 sq.ft. Listed price is ₹15,984,920. Proximity to metro: 6.54 km.",2025-08-21 19:05:41
PROP1009,OWN1084,5 BHK Independent House in Ghaziabad Vasundhara,Ghaziabad Vasundhara,Delhi NCR,INDEPENDENT_HOUSE,SALE,5,3060,26262245,True,0.73,FULL_FLAT,ANY,False,NONE,"Spacious 5 BHK Independent House Available for Sale in Ghaziabad Vasundhara. Covered area is 3060 sq.ft. Listed price is ₹26,262,245. Proximity to metro: 0.73 km.",2025-12-22 03:28:31
PROP1010,OWN1017,2 BHK Apartment in DLF Phase 5,DLF Phase 5,Delhi NCR,APARTMENT,RENT,2,1190,53245,True,1.71,FULL_FLAT,ANY,False,NONE,"Spacious 2 BHK Apartment Available for Rent in DLF Phase 5. Covered area is 1190 sq.ft. Listed price is ₹53,245. Proximity to metro: 1.71 km.",2025-07-31 22:12:18
PROP1011,OWN1203,2 BHK Apartment in Ghaziabad Vasundhara,Ghaziabad Vasundhara,Delhi NCR,APARTMENT,SALE,2,1574,40670153,True,1.92,FULL_FLAT,ANY,False,NONE,"Spacious 2 BHK Apartment Available for Sale in Ghaziabad Vasundhara. Covered area is 1574 sq.ft. Listed price is ₹40,670,153. Proximity to metro: 1.92 km.",2025-10-08 21:32:16
PROP1012,OWN1220,5 BHK Apartment in Noida Sector 76,Noida Sector 76,Delhi NCR,APARTMENT,SALE,5,3760,10600827,True,2.18,FULL_FLAT,ANY,False,NONE,"Spacious 5 BHK Apartment Available for Sale in Noida Sector 76. Covered area is 3760 sq.ft. Listed price is ₹10,600,827. Proximity to metro: 2.18 km.",2026-01-21 14:49:59
PROP1013,OWN1079,1 BHK Builder Floor in Janakpuri,Janakpuri,Delhi NCR,BUILDER_FLOOR,RENT,1,548,62019,False,7.98,FULL_FLAT,ANY,False,NONE,"Spacious 1 BHK Builder Floor Available for Rent in Janakpuri. Covered area is 548 sq.ft. Listed price is ₹62,019. Proximity to metro: 7.98 km.",2025-07-30 17:37:04
PROP1014,OWN1271,1 BHK Pg in Cyber City Gurgaon,Cyber City Gurgaon,Delhi NCR,PG,PG,1,340,7376,False,4.44,TRIPLE_SHARING,UNISEX,True,BOTH,"Well-maintained triple sharing PG for unisexs located at Cyber City Gurgaon. Monthly rent is ₹7,376. Food is included (both). Nearest metro station is 4.44 km away.",2025-10-01 15:58:23
PROP1015,OWN1151,3 BHK Apartment in Greater Noida Pari Chowk,Greater Noida Pari Chowk,Delhi NCR,APARTMENT,SALE,3,2268,16489124,False,7.53,FULL_FLAT,ANY,False,NONE,"Spacious 3 BHK Apartment Available for Sale in Greater Noida Pari Chowk. Covered area is 2268 sq.ft. Listed price is ₹16,489,124. Proximity to metro: 7.53 km.",2026-03-15 09:44:27
PROP1016,OWN1153,3 BHK Apartment in Faridabad Sector 81,Faridabad Sector 81,Delhi NCR,APARTMENT,RENT,3,1935,33174,False,7.75,FULL_FLAT,ANY,False,NONE,"Spacious 3 BHK Apartment Available for Rent in Faridabad Sector 81. Covered area is 1935 sq.ft. Listed price is ₹33,174. Proximity to metro: 7.75 km.",2026-02-05 01:50:10
PROP1017,OWN1272,1 BHK Builder Floor in South Delhi,South Delhi,Delhi NCR,BUILDER_FLOOR,RENT,1,478,59576,True,0.75,FULL_FLAT,ANY,False,NONE,"Spacious 1 BHK Builder Floor Available for Rent in South Delhi. Covered area is 478 sq.ft. Listed price is ₹59,576. Proximity to metro: 0.75 km.",2025-10-09 13:20:22
PROP1018,OWN1124,1 BHK Builder Floor in Dwarka Sector 21,Dwarka Sector 21,Delhi NCR,BUILDER_FLOOR,SALE,1,772,12939645,True,1.72,FULL_FLAT,ANY,False,NONE,"Spacious 1 BHK Builder Floor Available for Sale in Dwarka Sector 21. Covered area is 772 sq.ft. Listed price is ₹12,939,645. Proximity to metro: 1.72 km.",2026-02-21 06:22:17
PROP1019,OWN1282,4 BHK Independent House in Janakpuri,Janakpuri,Delhi NCR,INDEPENDENT_HOUSE,SALE,4,2432,40691547,False,6.33,FULL_FLAT,ANY,False,NONE,"Spacious 4 BHK Independent House Available for Sale in Janakpuri. Covered area is 2432 sq.ft. Listed price is ₹40,691,547. Proximity to metro: 6.33 km.",2026-05-12 16:16:59
PROP1020,OWN1160,1 BHK Pg in Noida Sector 76,Noida Sector 76,Delhi NCR,PG,PG,1,286,19236,True,0.77,DOUBLE_SHARING,UNISEX,False,NONE,"Well-maintained double sharing PG for unisexs located at Noida Sector 76. Monthly rent is ₹19,236. Food is not included. Nearest metro station is 0.77 km away.",2025-07-23 09:58:35
PROP1021,OWN1033,2 BHK Independent House in Noida Sector 62,Noida Sector 62,Delhi NCR,INDEPENDENT_HOUSE,SALE,2,1224,4982569,True,1.83,FULL_FLAT,ANY,False,NONE,"Spacious 2 BHK Independent House Available for Sale in Noida Sector 62. Covered area is 1224 sq.ft. Listed price is ₹4,982,569. Proximity to metro: 1.83 km.",2026-05-11 08:37:41
PROP1022,OWN1031,3 BHK Apartment in Gurgaon Sector 56,Gurgaon Sector 56,Delhi NCR,APARTMENT,SALE,3,1608,39004433,True,0.84,FULL_FLAT,ANY,False,NONE,"Spacious 3 BHK Apartment Available for Sale in Gurgaon Sector 56. Covered area is 1608 sq.ft. Listed price is ₹39,004,433. Proximity to metro: 0.84 km.",2026-04-02 00:43:56
PROP1023,OWN1249,4 BHK Independent House in Preet Vihar,Preet Vihar,Delhi NCR,INDEPENDENT_HOUSE,RENT,4,2048,73993,True,0.64,FULL_FLAT,ANY,False,NONE,"Spacious 4 BHK Independent House Available for Rent in Preet Vihar. Covered area is 2048 sq.ft. Listed price is ₹73,993. Proximity to metro: 0.64 km.",2025-11-22 07:33:51
