amenity_id,property_id,amenity_name
AMN00001,PROP1001,Fire Safety System
AMN00002,PROP1001,Club House
AMN00003,PROP1001,Swimming Pool
AMN00004,PROP1001,Park / Garden
AMN00005,PROP1002,Microwave
AMN00006,PROP1002,Attached Bathroom
AMN00007,PROP1002,Daily Housekeeping
AMN00008,PROP1002,Air Conditioner
AMN00009,PROP1003,RO Drinking Water
AMN00010,PROP1003,Study Table
AMN00011,PROP1003,Attached Bathroom
AMN00012,PROP1003,High-Speed WiFi
AMN00013,PROP1004,Gated Security
AMN00014,PROP1004,Swimming Pool
AMN00015,PROP1004,Elevator / Lift
AMN00016,PROP1004,Club House
AMN00017,PROP1004,Covered Parking
AMN00018,PROP1004,Fire Safety System
AMN00019,PROP1004,24x7 Power Backup
AMN00020,PROP1004,EV Charging Point
AMN00021,PROP1005,Swimming Pool
AMN00022,PROP1005,Children's Play Area
AMN00023,PROP1005,24x7 Power Backup
AMN00024,PROP1005,Park / Garden
AMN00025,PROP1005,Gated Security
AMN00026,PROP1006,Refrigerator
AMN00027,PROP1006,Washing Machine
AMN00028,PROP1006,High-Speed WiFi
AMN00029,PROP1006,Geyser
AMN00030,PROP1006,Daily Housekeeping
AMN00031,PROP1006,RO Drinking Water
AMN00032,PROP1007,Microwave
AMN00033,PROP1007,Refrigerator
AMN00034,PROP1007,CCTV / 24x7 Security
AMN00035,PROP1007,RO Drinking Water
AMN00036,PROP1007,Daily Housekeeping
AMN00037,PROP1007,High-Speed WiFi
AMN00038,PROP1008,24x7 Power Backup
AMN00039,PROP1008,Swimming Pool
AMN00040,PROP1008,Fire Safety System
AMN00041,PROP1008,Gated Security
AMN00042,PROP1008,Club House
AMN00043,PROP1008,EV Charging Point
AMN00044,PROP1009,Gym / Fitness Center
AMN00045,PROP1009,Children's Play Area
AMN00046,PROP1009,EV Charging Point
AMN00047,PROP1009,Swimming Pool
AMN00048,PROP1009,Club House
AMN00049,PROP1009,Park / Garden
AMN00050,PROP1010,Covered Parking
AMN00051,PROP1010,Pet Friendly
AMN00052,PROP1010,Solar Water Heater
AMN00053,PROP1011,Gated Security
AMN00054,PROP1011,Club House
AMN00055,PROP1011,Intercom
AMN00056,PROP1011,Swimming Pool
AMN00057,PROP1011,Children's Play Area
AMN00058,PROP1011,Fire Safety System
AMN00059,PROP1011,Covered Parking
AMN00060,PROP1012,Children's Play Area
AMN00061,PROP1012,Gated Security
AMN00062,PROP1012,Club House
AMN00063,PROP1012,24x7 Power Backup
AMN00064,PROP1013,Fire Safety System
AMN00065,PROP1013,Children's Play Area
AMN00066,PROP1013,Swimming Pool
AMN00067,PROP1013,Elevator / Lift
AMN00068,PROP1013,Gated Security
AMN00069,PROP1013,EV Charging Point
AMN00070,PROP1013,Park / Garden
AMN00071,PROP1013,24x7 Power Backup
AMN00072,PROP1014,Fire Safety System
AMN00073,PROP1014,Intercom
AMN00074,PROP1014,EV Charging Point
AMN00075,PROP1014,Club House
AMN00076,PROP1014,Gated Security
AMN00077,PROP1015,Children's Play Area
AMN00078,PROP1015,Swimming Pool
AMN00079,PROP1015,Gym / Fitness Center
AMN00080,PROP1015,Intercom
AMN00081,PROP1015,Elevator / Lift
AMN00082,PROP1015,Covered Parking
AMN00083,PROP1015,Gated Security
